Coordinate [pointx=42772, pointy=-21149, velx=-4, vely=2]
Coordinate [pointx=42804, pointy=-31790, velx=-4, vely=3]
Coordinate [pointx=-10445, pointy=-10502, velx=1, vely=1]
Coordinate [pointx=-31749, pointy=21438, velx=3, vely=-2]
Coordinate [pointx=-31722, pointy=32074, velx=3, vely=-3]
Coordinate [pointx=53436, pointy=-21147, velx=-5, vely=2]
Coordinate [pointx=-42336, pointy=-42437, velx=4, vely=4]
Coordinate [pointx=-42380, pointy=21435, velx=4, vely=-2]
Coordinate [pointx=21508, pointy=-10506, velx=-2, vely=1]
Coordinate [pointx=-31727, pointy=42725, velx=3, vely=-4]
Coordinate [pointx=-42383, pointy=32083, velx=4, vely=-3]
Coordinate [pointx=42764, pointy=21438, velx=-4, vely=-2]
Coordinate [pointx=-53037, pointy=-53086, velx=5, vely=5]
Coordinate [pointx=53436, pointy=-10506, velx=-5, vely=1]
Coordinate [pointx=-10445, pointy=32083, velx=1, vely=-3]
Coordinate [pointx=-53001, pointy=-53081, velx=5, vely=5]
Coordinate [pointx=-31724, pointy=-21151, velx=3, vely=2]
Coordinate [pointx=-21106, pointy=42720, velx=2, vely=-4]
Coordinate [pointx=10847, pointy=-53083, velx=-1, vely=5]
Coordinate [pointx=21483, pointy=-21147, velx=-2, vely=2]
Coordinate [pointx=53433, pointy=-21146, velx=-5, vely=2]
Coordinate [pointx=32121, pointy=42719, velx=-3, vely=-4]
Coordinate [pointx=10834, pointy=53364, velx=-1, vely=-5]
Coordinate [pointx=-31708, pointy=-42434, velx=3, vely=4]
Coordinate [pointx=-21057, pointy=-10497, velx=2, vely=1]
Coordinate [pointx=-42372, pointy=-53082, velx=4, vely=5]
Coordinate [pointx=32143, pointy=-10502, velx=-3, vely=1]
Coordinate [pointx=-31751, pointy=-53078, velx=3, vely=5]
Coordinate [pointx=-21069, pointy=42720, velx=2, vely=-4]
Coordinate [pointx=-21049, pointy=-42432, velx=2, vely=4]
Coordinate [pointx=-42376, pointy=42727, velx=4, vely=-4]
Coordinate [pointx=42790, pointy=-21151, velx=-4, vely=2]
Coordinate [pointx=10849, pointy=32082, velx=-1, vely=-3]
Coordinate [pointx=-31724, pointy=-21142, velx=3, vely=2]
Coordinate [pointx=32159, pointy=-10498, velx=-3, vely=1]
Coordinate [pointx=32180, pointy=-21151, velx=-3, vely=2]
Coordinate [pointx=21491, pointy=53368, velx=-2, vely=-5]
Coordinate [pointx=32162, pointy=-21149, velx=-3, vely=2]
Coordinate [pointx=21482, pointy=-10505, velx=-2, vely=1]
Coordinate [pointx=-52981, pointy=-53079, velx=5, vely=5]
Coordinate [pointx=42796, pointy=32079, velx=-4, vely=-3]
